,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
49,Psycho,0.716,0.22,5,-10.09,1,0.0317,0.9,0.0,0.11,0.352,105.921,audio_features,1EvLLF8zOiXYfoPRAVP0Qq,spotify:track:1EvLLF8zOiXYfoPRAVP0Qq,https://api.spotify.com/v1/tracks/1EvLLF8zOiXYfoPRAVP0Qq,https://api.spotify.com/v1/audio-analysis/1EvLLF8zOiXYfoPRAVP0Qq,215388,4
50,Young Blood - Acoustic,0.691,0.231,11,-10.512,1,0.0471,0.815,0.0,0.103,0.298,85.153,audio_features,6QPqf4WqwZkxM68bGipzvP,spotify:track:6QPqf4WqwZkxM68bGipzvP,https://api.spotify.com/v1/tracks/6QPqf4WqwZkxM68bGipzvP,https://api.spotify.com/v1/audio-analysis/6QPqf4WqwZkxM68bGipzvP,200613,4
51,Survivors - Acoustic,0.535,0.281,9,-9.852,0,0.0291,0.75,0.0,0.109,0.145,149.052,audio_features,0HE3TnUyHfk9HW09zzbbxc,spotify:track:0HE3TnUyHfk9HW09zzbbxc,https://api.spotify.com/v1/tracks/0HE3TnUyHfk9HW09zzbbxc,https://api.spotify.com/v1/audio-analysis/0HE3TnUyHfk9HW09zzbbxc,269016,4
52,Clash,0.693,0.593,9,-8.506,0,0.217,0.0187,1.09e-06,0.407,0.688,165.924,audio_features,7krGSbOnw13S7tIpgVEWAo,spotify:track:7krGSbOnw13S7tIpgVEWAo,https://api.spotify.com/v1/tracks/7krGSbOnw13S7tIpgVEWAo,https://api.spotify.com/v1/audio-analysis/7krGSbOnw13S7tIpgVEWAo,176386,4
53,F&MU,0.717,0.597,10,-4.465,1,0.0838,0.383,0.0,0.14,0.44,77.048,audio_features,24QjawKdGJmsAIVe3EhzGH,spotify:track:24QjawKdGJmsAIVe3EhzGH,https://api.spotify.com/v1/tracks/24QjawKdGJmsAIVe3EhzGH,https://api.spotify.com/v1/audio-analysis/24QjawKdGJmsAIVe3EhzGH,134853,4
54,Loving Is Easy,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00482,0.0959,0.537,117.024,audio_features,7ASFZh1D0DPZro7UXUKGmd,spotify:track:7ASFZh1D0DPZro7UXUKGmd,https://api.spotify.com/v1/tracks/7ASFZh1D0DPZro7UXUKGmd,https://api.spotify.com/v1/audio-analysis/7ASFZh1D0DPZro7UXUKGmd,155720,4
55,Dior,0.967,0.362,5,-11.374,0,0.159,0.514,0.00637,0.124,0.633,115.974,audio_features,53QrRlALFJfZgdcGLKwy5s,spotify:track:53QrRlALFJfZgdcGLKwy5s,https://api.spotify.com/v1/tracks/53QrRlALFJfZgdcGLKwy5s,https://api.spotify.com/v1/audio-analysis/53QrRlALFJfZgdcGLKwy5s,139134,4
56,All We Know,0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90.0,audio_features,2rizacJSyD9S1IQUxUxnsK,spotify:track:2rizacJSyD9S1IQUxUxnsK,https://api.spotify.com/v1/tracks/2rizacJSyD9S1IQUxUxnsK,https://api.spotify.com/v1/audio-analysis/2rizacJSyD9S1IQUxUxnsK,194080,4
57,The Sound of Silence,0.535,0.225,6,-13.865,1,0.0301,0.869,1.57e-06,0.0988,0.338,107.384,audio_features,3YfS47QufnLDFA71FUsgCM,spotify:track:3YfS47QufnLDFA71FUsgCM,https://api.spotify.com/v1/tracks/3YfS47QufnLDFA71FUsgCM,https://api.spotify.com/v1/audio-analysis/3YfS47QufnLDFA71FUsgCM,184787,4
58,Snap Out Of It,0.728,0.638,5,-6.455,0,0.0336,0.249,0.0,0.116,0.872,130.014,audio_features,0NdTUS4UiNYCNn5FgVqKQY,spotify:track:0NdTUS4UiNYCNn5FgVqKQY,https://api.spotify.com/v1/tracks/0NdTUS4UiNYCNn5FgVqKQY,https://api.spotify.com/v1/audio-analysis/0NdTUS4UiNYCNn5FgVqKQY,193030,4
